,setup,map_id,smoke_level,trial_index,rmse,rmse_scale,hallucination_count,hallucination_count_total,hallucination_percent,undetected_count,undetected_count_total,undetected_percent,num_clusters,number_disparity,latency_fusion,latency_inference
0,FUSION,2,2,8,0.3975962038332357,12.876541131928898,9321,19849,0.46959544561438865,1566,15183,0.10314167160640189,47,153973,0.34414412336164474,0.30710614876970443
1,FUSION,2,2,10,0.39190729491063486,19.158404301917766,8973,19379,0.4630269879766758,1370,15183,0.09023249687150102,66,155235,0.3587223119376337,0.3187975231923309
2,FUSION,2,2,6,0.3935799718030898,19.49797996274961,8613,19696,0.4372969130787977,1627,15183,0.10715932292695778,64,154207,0.3441744346054945,0.3099123445932026
3,FUSION,2,2,11,0.3816140822528577,19.936002436973894,8993,19497,0.4612504487869929,1356,15183,0.08931041296186525,57,155039,0.337174272887544,0.30542926138352283
4,FUSION,2,2,11,0.4026866174865991,20.866903678381366,6287,13422,0.46841007301445386,5605,15183,0.36916287953632354,48,155039,0.337174272887544,0.30542926138352283
5,FUSION,2,2,14,0.39988445391905764,18.248692685214465,6376,12872,0.4953387197016781,5651,15183,0.3721925838108411,48,156360,0.3360982354167,0.3045357165161657
6,FUSION,2,2,9,0.3905068548811946,18.487757673202307,9353,20516,0.4558880873464613,1700,15183,0.11196733188434434,65,155081,0.3512601616358993,0.3126271784496613
7,FUSION,2,2,7,0.4118359955608337,19.20675376605603,8589,19376,0.44328034682080925,1643,15183,0.10821313310939867,70,197539,0.4998163350647188,0.39436303942461465
8,FUSION,2,2,13,0.39674326971493523,14.967709372488157,9289,20548,0.45206346116410356,1586,15183,0.10445893433445301,50,155186,0.33515113223459303,0.3036514601354933
9,FUSION,2,2,4,0.3999319153037987,13.37672813230615,9169,21033,0.43593400846289165,1348,15183,0.0887835078706448,60,154730,0.35348240790131624,0.31449706416993023
10,FUSION,2,2,1,0.3971216625319658,15.801065964404666,8719,19145,0.45541916949595196,1457,15183,0.09596258973852335,54,155987,0.35221627612836953,0.31288446487191207
11,FUSION,2,2,2,0.3927090432377564,15.488877076905545,8657,18975,0.456231884057971,2200,15183,0.1448989000856221,69,154469,0.36591908063231304,0.3211056137712636
12,FUSION,2,2,3,0.39224403187867835,14.597981002940617,9598,21612,0.4441051267814177,1375,15183,0.0905618125535138,59,155369,0.3499992700262741,0.3112371572708294
13,FUSION,2,2,12,0.4472573810220313,18.718427004322415,31849,55959,0.569148841115817,1080,15183,0.07113218731475993,26,154957,0.33911495755828497,0.3044914733051416
14,FUSION,2,2,0,0.4020049530765777,19.87941020886893,10353,21527,0.48093092395596226,1855,15183,0.12217611802674043,77,155707,0.34659811879517716,0.31027150694466016
15,FUSION,2,2,5,0.3981399760897042,18.184815596498755,10036,21407,0.46881861073480635,1456,15183,0.0958967266021208,45,155392,0.37318228717513885,0.326004259568408
16,FUSION,2,1,13,0.35359145408766873,16.359379574305954,6072,19987,0.3037974683544304,1447,15183,0.09530395837449779,82,226659,0.3585044152702714,0.30577722061016716
17,FUSION,2,1,14,0.40554427060809256,20.628160551990305,1765,4678,0.37729799059427105,10041,15183,0.6613317526180597,31,226563,0.35919671205677745,0.30688439646981797
18,FUSION,2,1,9,0.3686018567761058,14.90602329796409,6999,20249,0.3456466986024001,1381,15183,0.09095699137192913,76,226444,0.3828357754530072,0.3152274836053371
19,FUSION,2,1,11,0.34903215943784127,19.07120536155079,6578,19888,0.3307522123893805,1424,15183,0.09378910623723902,86,226336,0.38199919704356966,0.3094085536241342
20,FUSION,2,1,12,0.36528863739701334,15.874651615634441,7439,20775,0.3580746089049338,1659,15183,0.10926694329183956,69,226033,0.3655563858130497,0.30707284344879954
21,FUSION,2,1,10,0.3528035017991056,17.09544398488232,5709,18602,0.30690248360391353,1495,15183,0.09846538892182045,97,226461,0.3642641927013878,0.3069052543407625
22,FUSION,2,1,5,0.3443753551272561,17.066382652081536,4870,13851,0.35159916251534185,4205,15183,0.27695448857274585,73,226598,0.36627048640184,0.30399886788749547
23,FUSION,2,1,1,0.36819385230289486,16.40070464409325,5017,15558,0.3224707545957064,2907,15183,0.19146413752222882,69,225857,0.3546516395026786,0.308979157976776
24,FUSION,2,1,2,0.35559847299353436,15.158220986050633,7350,20568,0.3573512252042007,1500,15183,0.09879470460383323,72,226518,0.3561953168544308,0.305047591806809
25,FUSION,2,1,0,0.3516807013450267,18.66193283442213,7057,20323,0.34724204103724843,1374,15183,0.09049594941711124,87,225712,0.3569994165825386,0.31087754504139203
26,FUSION,2,1,4,0.35487057730714366,14.117830513714638,5936,18442,0.3218739832989914,2288,15183,0.15069485608904695,83,226818,0.3585072685175113,0.3047147233799909
27,FUSION,2,1,7,0.3652818556580217,16.332587731154348,7377,21048,0.350484606613455,1644,15183,0.10827899624580123,87,226718,0.3771848025529281,0.3054069048362159
28,FUSION,2,1,8,0.36069478516775544,17.523158399003876,7097,20295,0.3496920423749692,1523,15183,0.10030955674109202,69,226604,0.37797666959060255,0.3092225282770329
29,FUSION,2,1,3,0.3720208597976651,17.265591288823842,6630,20388,0.3251912889935256,1494,15183,0.0983995257854179,80,226197,0.3602552356702359,0.3048931356519461
30,FUSION,2,0,7,0.35389747237603286,16.702696539318826,6600,21410,0.3082671648762261,1834,15183,0.12079299216228677,84,244857,0.3593099381822688,0.30505139877107657
31,FUSION,2,0,5,0.3480291717135749,16.026129380598498,6315,21620,0.29209065679925994,1613,15183,0.106237239017322,103,244250,0.37235892444621516,0.3049464277943488
32,FUSION,2,0,1,0.353294389420514,18.26388831107691,7245,23017,0.3147673458747882,1842,15183,0.12131989725350721,80,244447,0.3635231603507836,0.3048386118374765
33,FUSION,2,0,8,0.345279845240772,19.330929318928426,5530,19567,0.2826186947411458,2552,15183,0.16808272409932162,92,244331,0.37708767393360965,0.3030933122727477
34,FUSION,2,0,6,0.3659863647136876,18.315000077570954,2641,9433,0.2799745574048553,7120,15183,0.4689455311861951,60,244569,0.37269160364965315,0.3031529275224296
35,FUSION,2,0,3,0.34804685667548035,15.516483690745305,4219,13960,0.30222063037249286,4618,15183,0.3041559639070012,81,244198,0.36413242179436267,0.30525226995978555
36,FUSION,2,0,11,0.35700954392545087,18.67130240290569,6247,21360,0.2924625468164794,1455,15183,0.09583086346571824,100,244865,0.35832502844138797,0.30697638476392025
37,FUSION,2,0,0,0.33811994698606007,15.951644792326727,5738,20492,0.2800117118875659,1619,15183,0.10663241783573733,95,244559,0.36819440669302334,0.3047241597657835
38,FUSION,2,0,4,0.34699038248333997,15.798726788601341,6156,21196,0.29043215701075675,2043,15183,0.13455838767042086,90,244293,0.3658327506396673,0.3047732673585415
39,FUSION,2,0,12,0.37999984836031814,18.057540260818524,8780,24765,0.35453260650111046,1545,15183,0.10175854574194823,67,244535,0.37186719554557635,0.306178708785466
40,FUSION,2,0,10,0.3463082685684194,19.00624161979402,6061,20570,0.2946524064171123,1964,15183,0.129355199894619,98,244433,0.36282528582865115,0.3061329240937381
41,FUSION,2,0,14,0.33644460956771244,17.531909696275243,5522,19620,0.28144750254842,2021,15183,0.13310939866956464,100,244834,0.40859521933251025,0.33162465705498706
